Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
34051011,Pachinko,Min Jin Lee,"Lee, Min Jin",,"=""""","=""""",0,4.34,Grand Central Publishing,Kindle Edition,496,2017,2017,,2025/05/18,to-read,to-read (#190),to-read,,,,0,0
9361589,The Night Circus,Erin Morgenstern,"Morgenstern, Erin",,"=""""","=""9780385534635""",0,4.00,Doubleday,Hardcover,506,2011,2011,,2025/05/18,to-read,to-read (#189),to-read,,,,0,0
49628,Cloud Atlas,David  Mitchell,"Mitchell, David",,"=""0375507256""","=""9780375507250""",0,4.01,Random House,Paperback,509,2004,2004,,2025/05/18,to-read,to-read (#188),to-read,,,,0,0
40180098,The Overstory,Richard Powers,"Powers, Richard",,"=""039335668X""","=""9780393356687""",0,4.11,W.W. Norton & Company,Paperback,502,2019,2018,,2025/05/18,to-read,to-read (#187),to-read,,,,0,0
43317482,In the Dream House,Carmen Maria Machado,"Machado, Carmen Maria",,"=""1644450038""","=""9781644450031""",0,4.39,Graywolf Press,Hardcover,251,2019,2019,,2025/05/18,to-read,to-read (#186),to-read,,,,0,0
44890081,My Dark Vanessa,Kate Elizabeth Russell,"Russell, Kate Elizabeth",,"=""006294150X""","=""9780062941503""",0,4.10,William Morrow,Hardcover,373,2020,2020,,2025/05/18,to-read,to-read (#185),to-read,,,,0,0
41880609,On Earth We're Briefly Gorgeous,Ocean Vuong,"Vuong, Ocean",,"=""0525562028""","=""9780525562023""",0,4.01,Penguin Press,Hardcover,246,2019,2019,,2025/05/18,to-read,to-read (#184),to-read,,,,0,0
52741293,Shuggie Bain,Douglas   Stuart,"Stuart, Douglas",,"=""0802148042""","=""9780802148049""",0,4.30,Grove Press,Hardcover,430,2020,2020,,2025/05/18,to-read,to-read (#183),to-read,,,,0,0
53642699,The Mountain Is You: Transforming Self-Sabotage Into Self-Mastery,Brianna Wiest,"Wiest, Brianna",,"=""""","=""""",0,4.05,Thought Catalog Books,Kindle Edition,250,2020,2020,,2025/05/18,to-read,to-read (#182),to-read,,,,0,0
35133922,Educated,Tara Westover,"Westover, Tara",,"=""0399590501""","=""9780399590504""",5,4.47,Random House,Hardcover,352,2018,2018,2024/02/24,2021/03/24,5-stars,5-stars (#10),read,,,,1,0
29780253,Born a Crime: Stories From a South African Childhood,Trevor Noah,"Noah, Trevor",,"=""0385689225""","=""9780385689229""",5,4.49,Doubleday Canada,Hardcover,289,2016,2016,2023/02/19,2021/03/02,5-stars,5-stars (#9),read,,,,1,0
32620332,The Seven Husbands of Evelyn Hugo,Taylor Jenkins Reid,"Reid, Taylor Jenkins",,"=""1501139231""","=""9781501139239""",5,4.40,Atria Books,Hardcover,389,2017,2017,2021/07/17,2021/07/12,5-stars,5-stars (#8),read,,,,1,0
22822858,A Little Life,Hanya Yanagihara,"Yanagihara, Hanya",,"=""0385539258""","=""9780385539258""",5,4.28,Doubleday,Hardcover,720,2015,2015,2022/09/18,2021/04/21,5-stars,5-stars (#7),read,,,,1,0
11250317,The Song of Achilles,Madeline Miller,"Miller, Madeline",,"=""1408816032""","=""9781408816035""",5,4.31,Bloomsbury Publishing,Hardcover,352,2011,2011,2021/07/02,2021/03/02,5-stars,5-stars (#6),read,,,,1,0
44767458,Dune (Dune #1),Frank Herbert,"Herbert, Frank",,"=""059309932X""","=""9780593099322""",5,4.29,Ace,Hardcover,658,2019,1965,,2021/03/02,5-stars,5-stars (#5),read,,,,1,0
2767052,"The Hunger Games (The Hunger Games, #1)",Suzanne Collins,"Collins, Suzanne",,"=""0439023483""","=""9780439023481""",5,4.35,Scholastic Press,Hardcover,374,2008,2008,2021/04/20,2021/03/14,5-stars,5-stars (#4),read,,,,1,0
485894,The Metamorphosis,Franz Kafka,"Kafka, Franz",Stanley Corngold,"=""0553213695""","=""9780553213690""",5,3.90,Bantam Classics,Mass Market Paperback,201,1972,,,2021/03/02,5-stars,5-stars (#3),read,,,,1,0
11337,The Bluest Eye,Toni Morrison,"Morrison, Toni",,"=""""","=""""",5,4.13,Plume,Paperback,216,2005,1970,2024/05/14,2024/05/14,5-stars,5-stars (#2),read,,,,1,0
4214,Life of Pi,Yann Martel,"Martel, Yann",,"=""0770430074""","=""9780770430078""",5,3.94,Seal Books,Paperback,460,2006,2001,2024/02/02,2023/03/07,5-stars,5-stars (#1),read,,,,1,0
52129515,Untamed,Glennon Doyle,"Doyle, Glennon",Glennon Doyle Melton,"=""1984801252""","=""9781984801258""",0,3.98,The Dial Press,Hardcover,333,2020,2020,,2025/05/18,to-read,to-read (#181),to-read,,,,0,0
228394781,Small Boat,Vincent Delecroix,"Delecroix, Vincent","Helen Stevenson, Jeremy Harding","=""1913109372""","=""9781913109370""",0,4.02,HopeRoad,Paperback,122,2025,2023,,2025/05/17,to-read,to-read (#180),to-read,,,,0,0
2156,Persuasion,Jane Austen,"Austen, Jane","Deidre Shauna Lynch, James Kinsley","=""0192802631""","=""9780192802637""",0,4.15,Oxford University Press,Paperback,249,2004,1817,,2025/05/17,to-read,to-read (#179),to-read,,,,0,0
30593,Pnin,Vladimir Nabokov,"Nabokov, Vladimir",David Lodge,"=""1400041988""","=""9781400041985""",0,3.88,Everyman's Library,Hardcover,184,2004,1957,,2025/05/17,to-read,to-read (#178),to-read,,,,0,0
